pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w
3.182525324518792e-05,-6.045813734090189e-07,-6.045813734090189e-07,4.656612873077393e-10,8.281742339022458e-06,-9.951181709766388e-06,0.9999999403953552
3.222169470973313e-05,-6.040253879291413e-07,-6.040253879291413e-07,-0.0,8.102855645120144e-06,-9.95188020169735e-06,1.0
3.298333831480704e-05,-6.041359483788256e-07,-6.041359483788256e-07,-2.3283064365386963e-10,3.854656824842095e-06,-9.950483217835426e-06,1.0
3.384931915206835e-05,-6.039707045601972e-07,-6.039707045601972e-07,1.862645149230957e-09,-1.5859986888244748e-06,-9.950483217835426e-06,1.0000001192092896
3.455133264651522e-05,-6.040160087650293e-07,-6.040160087650293e-07,1.862645149230957e-09,-5.178342689760029e-06,-9.950017556548119e-06,1.0
3.496081626508385e-05,-6.039967388460354e-07,-6.039967388460354e-07,5.587935447692871e-09,-5.5211130529642105e-06,-9.949319064617157e-06,1.0
3.511503746267408e-05,-6.042708946552011e-07,-6.042708946552011e-07,4.190951585769653e-09,-3.0169321689754725e-06,-9.949319064617157e-06,1.0000001192092896
3.517237928463146e-05,-6.046822704774968e-07,-6.046822704774968e-07,-1.6298145055770874e-09,5.157053237780929e-07,-9.949319064617157e-06,0.9999999403953552
3.531542461132631e-05,-6.043425742063846e-07,-6.043425742063846e-07,-5.587935447692871e-09,3.1241943361237645e-06,-9.950948879122734e-06,1.0000001192092896
3.564293001545593e-05,-6.04342005772196e-07,-6.04342005772196e-07,-5.122274160385132e-09,3.7055142456665635e-06,-9.950948879122734e-06,1.0000001192092896
0.00011145397002110258,-7.218608288894757e-07,-7.218608288894757e-07,-1.6067642718553543e-06,-5.800601502414793e-05,-9.323470294475555e-06,1.0
0.0005715840961784124,-1.0340721701140865e-06,-1.0340721701140865e-06,-8.48434865474701e-06,-0.00037815075484104455,-6.7481305450201035e-06,0.9999999403953552
0.0016907217213883996,-1.2328010825513047e-06,-1.2328010825513047e-06,-1.8807360902428627e-05,-0.000974367605522275,-2.3334287106990814e-06,0.9999995231628418
0.0037140483036637306,-1.1761569567170227e-06,-1.1761569567170227e-06,-2.8907787054777145e-05,-0.0017061426769942045,4.185829311609268e-06,0.9999986290931702
0.006941890809684992,-9.333039088232908e-07,-9.333039088232908e-07,-3.6830781027674675e-05,-0.0024270687717944384,1.3087410479784012e-05,0.9999970197677612
0.011646358296275139,-5.909712399443379e-07,-5.909712399443379e-07,-4.245969466865063e-05,-0.0029943459667265415,2.424255944788456e-05,0.9999954700469971
0.018112460151314735,-1.7118236428359523e-07,-1.7118236428359523e-07,-4.740734584629536e-05,-0.0033691218122839928,3.7735793739557266e-05,0.9999943971633911
0.026630504056811333,5.010710992792156e-07,5.010710992792156e-07,-5.2590854465961456e-05,-0.0036146880593150854,5.328678525984287e-05,0.9999935626983643
0.03748071566224098,1.7295074030698743e-06,1.7295074030698743e-06,-5.6928955018520355e-05,-0.0038394564762711525,7.080752402544022e-05,0.9999926090240479
0.050723444670438766,3.7432637327583507e-06,3.7432637327583507e-06,-5.855085328221321e-05,-0.003981214016675949,8.887052536010742e-05,0.9999920725822449
0.06635302305221558,6.661860425083432e-06,6.661860425083432e-06,-5.70730771869421e-05,-0.003977170679718256,0.00010750466026365757,0.9999920725822449
